,DJI,HSI,OMX20,STI,FTSE,
29/09/2000,-0.016124936,0.015016025,0.015194888,0.016199366,0.004793652,
02/10/2000,0.004609022,0,0.033850786,-0.012131192,-0.00154229,
03/10/2000,0.001830775,0.004907111,0.012536202,0.002627125,0.009580817,
04/10/2000,0.006021316,0.009677704,-0.011036216,-0.000733281,-0.001593073,
05/10/2000,-0.005538275,0.019074562,0.017628272,0.009225334,0.0074075,
06/10/2000,-0.012041858,0,0.002037006,-0.01619043,0.001440516,
09/10/2000,-0.00265688,-0.030818502,-0.031320287,-0.039374981,-0.01997538,
10/10/2000,-0.004174346,-0.008921702,0.001369684,0.014012368,-0.002733268,
11/10/2000,-0.010566029,-0.027843686,-0.018458083,-0.035771571,-0.021043533,
12/10/2000,-0.037092885,-0.003456751,-0.00523468,0.010392265,0.00233479,
13/10/2000,0.015583591,-0.026504393,0.004166177,-0.002925195,0.012591829,
16/10/2000,0.004563273,0.019755211,-0.002080919,0.012271207,0.012180731,
17/10/2000,-0.01466861,-0.006698894,0.012038894,-0.035078235,-0.013211924,
18/10/2000,-0.011431646,-0.028292539,-0.006667085,0.005544282,-0.008905932,
19/10/2000,0.016697703,-0.002492986,0.019085612,0.029894943,0.011433686,
20/10/2000,0.008209272,0.042223596,0.007435409,0.020811105,0.009187593,
23/10/2000,0.004403703,0.003836553,0.003309308,-0.004783551,0.006289629,
24/10/2000,0.0117442,-0.011751054,0.017090538,0.000626602,0.019209799,
25/10/2000,-0.006427905,0.009017948,-0.008993096,0.00343411,-0.011026021,
26/10/2000,0.005181266,-0.004318414,-0.000912331,0,-0.010339395,
27/10/2000,0.020076532,-0.006273203,-0.005118758,0.019962963,0.010135222,
30/10/2000,0.022883727,-0.006905876,-0.021766136,-0.00167909,0.003433978,
31/10/2000,0.012415608,0.006427988,-0.003845763,0.009551987,0.007796216,
01/11/2000,-0.006553762,0.030002564,0.007151261,0.031606868,0.00297767,
02/11/2000,-0.001741008,-0.003751243,-0.000993426,0.00020586,-0.010210523,
03/11/2000,-0.005766928,0.019594186,-0.005951962,0.010273303,-0.001033074,
06/11/2000,0.014614547,0.004927522,-0.002207994,-0.028079131,0.007115913,
07/11/2000,-0.002282474,0.009503456,0.001560821,0.008386127,0.005566812,
08/11/2000,-0.004128582,-0.010590118,-0.006021092,-0.002367615,0.001622336,
09/11/2000,-0.006697388,-0.009585127,-0.005075174,-0.006332866,-0.005449099,
10/11/2000,-0.021580772,-0.007471342,-0.006897094,-0.008817122,-0.006540857,
13/11/2000,-0.008115237,-0.037991557,-0.025888762,-0.024582232,-0.019787628,
14/11/2000,0.015455373,0.024128631,0.004754391,0.02173355,0.021769975,
15/11/2000,0.002482007,-0.003307717,-0.002144346,-0.011614485,0.003020586,
16/11/2000,-0.00482784,0.01123731,0.003795419,0.012517866,-0.000295428,
17/11/2000,-0.002458361,-0.007710214,0.007911674,-0.014634854,0.001507323,
20/11/2000,-0.015856512,0.010863096,-0.022126424,-0.009954477,-0.014876967,
21/11/2000,0.003039736,-0.010372466,-0.000961076,-0.005084796,0.005830096,
22/11/2000,-0.009110605,-0.027757373,-0.028631813,-0.006940543,-0.025502235,
23/11/2000,0,-0.014248936,-0.003100877,0.015163844,0.010536764,
24/11/2000,0.006795455,-0.012896333,0.015377587,0.022469305,0.006389292,
27/11/2000,0.007217121,0.0155878,0.01843111,-0.002442053,0.007416014,
28/11/2000,-0.003656179,-0.002505403,-0.007893142,-0.00672113,-0.019787568,
29/11/2000,0.011499638,-0.027644435,-0.004502681,-0.002826609,-0.013677547,
30/11/2000,-0.020398574,-0.013119007,-0.01204378,-0.004334344,-0.003688932,
01/12/2000,-0.003940029,0.032159451,0.016858396,0.001417885,0.004580681,
04/12/2000,0.017824621,0.008124685,-0.017651681,-0.012367726,-0.001897949,
05/12/2000,0.031562409,0.000959068,0,0.011656476,0.022525174,
06/12/2000,-0.021736163,0.035440293,0.003612286,0.010803376,-0.004088359,
07/12/2000,-0.004418794,-0.005807299,-0.001297653,-0.008186015,-0.006701505,
08/12/2000,0.008959741,0.011775301,0.000474947,0.000729799,0.009089737,
11/12/2000,0.001202731,0.014328694,-0.002186624,0.022263781,0.0129558,
12/12/2000,0.003951738,-0.005136301,0.01088562,-0.010321055,0.0031503,
13/12/2000,0.002426802,0.018877294,0.012753326,0.014985133,0.001969766,
14/12/2000,-0.011127122,-0.008017082,0.011061753,-0.016584427,-0.021979601,
15/12/2000,-0.022741725,-0.034228276,-0.007566706,-0.016473931,-0.014148601,
18/12/2000,0.019967206,0.003266663,-0.013459321,0.011000874,0.011382878,
19/12/2000,-0.005751351,0.010824077,-0.013928504,-0.004513325,0.007734361,
20/12/2000,-0.02539773,-0.017087441,-0.026235229,-0.016215543,-0.018971519,
21/12/2000,0.01618406,-0.018344525,-0.018212206,-0.015924436,-0.009957616,
22/12/2000,0.014038468,0.00536713,0.013935556,0.002114844,-0.002947681,
25/12/2000,0,0,0,0,0,
26/12/2000,0.005333725,0,0,-0.005406472,0,
27/12/2000,0.010302095,0.000688449,0.013130714,0,0.019601625,
28/12/2000,0.006053944,0.003262155,0.007014411,0.00418125,0.000803768,
29/12/2000,-0.007564386,0.020004628,0.006455965,0.013743371,-0.000112489,
01/01/2001,0,0,0,0,0,
02/01/2001,-0.013129624,-0.015056948,0.004957427,-0.015982093,-0.007704979,
03/01/2001,0.027753009,-0.01903415,0.008176712,-0.018500714,-0.022080977,
04/01/2001,-0.00305108,0.043289806,0.011690556,0.031322376,0.023841443,
05/01/2001,-0.023213351,0.013856917,0.00273097,0.02776152,0.002013937,
08/01/2001,-0.00382132,-0.00071752,-0.001892266,-0.012032687,-0.007854141,
09/01/2001,-0.004604943,0.004141309,9.31E-05,0.008608799,-0.010044423,
10/01/2001,0.002995624,-0.004189249,-0.004387268,0.000934489,-0.004655919,
11/01/2001,0.000498399,-0.02260554,-0.003529985,-0.02825979,0.009040083,
12/01/2001,-0.007965717,0.013470139,0.015587473,0.002503365,0.008247322,
15/01/2001,0,-0.000108535,0.005285327,0.004998374,0.000773357,
16/01/2001,0.012020345,0.004526883,-0.002055499,-0.006979687,-0.014201791,
17/01/2001,-0.006433846,-0.006639778,0.026008559,-0.004624407,0.018577727,
18/01/2001,0.008835906,0.017361138,0.006115315,-0.010324828,0.002016567,
19/01/2001,-0.008528592,0.025733805,-0.000178455,0.01017276,-8.86E-05,
22/01/2001,-0.000883783,0.01034698,0.010798442,0.002142557,0.00364271,
23/01/2001,0.006743062,-0.003425893,-0.001148258,0.001683581,-0.002783082,
24/01/2001,-0.000267324,0,0.016942132,0,0.007965411,
25/01/2001,0.007723515,0,-0.002290819,0,-0.00139457,
26/01/2001,-0.006502048,0,-0.000842252,-0.00435069,0.006168959,
29/01/2001,0.003951897,0.003460055,0.002524631,0.013632524,0.003590429,
30/01/2001,0.016587978,-0.012924927,-0.001363089,0.015138068,0.002774374,
31/01/2001,0.000566399,0.013082059,0.008640049,0.015062987,-0.005858127,
01/02/2001,0.008802832,0.003820704,-0.016097336,-0.004484527,-0.007283272,
02/02/2001,-0.010941585,-0.005751478,-0.020799001,-0.002919946,0.000735514,
05/02/2001,0.009321607,-0.015074514,-0.007491345,-0.011811872,0.002040615,
06/02/2001,-0.000768666,0.005191531,0.0113053,-0.002881196,0.003855882,
07/02/2001,-0.000977266,0.00852436,-0.003485622,-0.002632108,-0.010828378,
08/02/2001,-0.006063118,-0.008765698,-0.005116325,0.020224945,-0.003145175,
09/02/2001,-0.009149079,-0.002272937,-0.003184716,-0.004535224,-0.006766205,
12/02/2001,0.015216655,-0.01141543,-0.001234549,0.008482346,0.012434837,
13/02/2001,-0.003976806,0.009488326,-0.009901221,-0.000698673,-0.002067384,
14/02/2001,-0.009946213,0.001116609,-0.005064074,-0.011474528,-0.008427494,
15/02/2001,0.008817741,-0.00658197,0.024829112,0.004794955,0.003502478,
16/02/2001,-0.008409492,-0.00803275,0.0016693,-0.002021733,-0.0178433,
19/02/2001,0,-0.00895535,-0.007413863,-0.012016769,0.000930864,
20/02/2001,-0.006403498,0.002347001,0.004401139,0.014332048,-0.018855841,
21/02/2001,-0.019222267,-0.011389789,-0.003321517,-0.007573658,-0.00130015,
22/02/2001,2.16E-05,-0.016609167,-0.026484374,-0.008500143,0.005140515,
23/02/2001,-0.00809868,0.011976759,-0.017354486,0.001151233,-0.009950847,
26/02/2001,0.019031294,-0.00329982,-0.004897354,0.006884806,-0.004542841,
27/02/2001,-0.000530497,-0.026310559,0.007243341,-0.011889965,0.004125505,
28/02/2001,-0.013401219,-0.003163803,-0.010269062,0.005282491,-0.00393454,
01/03/2001,-0.00431049,-0.02932169,-0.011875794,-0.018465635,-0.001571052,
